file,length,dtype
Utredning_Äldre utredningar eller scenarier_Scenarier2013_AR_EXTRECROCCU.json,1440,mixed
Utredning_Äldre utredningar eller scenarier_Scenarier2013_AR_EXTRECSEX.json,432,int
Statistik_SO_SO006.json,2125,mixed
Statistik_FOHA_HA_Avslutade_HA027.json,120,int
Statistik_OF_2. Landskapet Ålands ekonomiuppgifter_OF038.json,209,int
Statistik_SO_SO007.json,960,mixed
Statistik_FOHA_HA_Avslutade_HA026.json,91,int
Utredning_Äldre utredningar eller scenarier_Scenarier2013_BE_INMIGFED.json,4320,int
Utredning_Utbildning och arbetsmarknad 2035_RECRSEX.json,408,mixed
Statistik_NA_Socialräkenskapsmatriser_SAM2007_agg.json,100,mixed
Statistik_FOHA_HA_Avslutade_HA030.json,120,mixed
Statistik_SO_SO011.json,1710,int
Statistik_FOHA_FO_Företagsbestånd_FO016.json,15521,int
Utredning_Äldre utredningar eller scenarier_Skatteutredning_22_GDP2.json,5760,mixed
Utredning_Utbildning och arbetsmarknad 2035_INMIG.json,19176,int
Statistik_BOBY_BO_BO002.json,3978,int
Statistik_NA_Konsumtion_NA034.json,165,mixed
Statistik_MI_MI012.json,780,mixed
Statistik_BE_Befolkningens storlek och struktur_BE037.json,24726,int
Statistik_TUTRSJ_TR_TR010.json,192,int
Statistik_FOHA_FI_FI003.json,64,int
Utredning_Äldre utredningar eller scenarier_Scenarier2013_AR_RECRFED.json,1440,mixed
Statistik_UTKU_UT_Avslutade_UT010.json,19665,int
Statistik_UTKU_UT_Grundskolan_UT003.json,595,int
Statistik_VA_VA003.json,3420,mixed
Statistik_INLO_LO_LO012.json,1440,int
"Statistik_TUTRSJ_SJ_Handelsflottan, sysselsättning, resande_SJ005.json",42,int
Statistik_INLO_LO_LO004.json,4284,int
Statistik_VA_VA015.json,1080,mixed
Statistik_TUTRSJ_TR_TR006.json,780,int
Utredning_Äldre utredningar eller scenarier_Skatteutredning_52_EMUNI.json,384,mixed
Statistik_FOHA_HA_HA034.json,1092,mixed
Statistik_AR_Avslutade_AR014.json,93024,int
Statistik_INLO_IN_IN003.json,3944,mixed
Statistik_FOHA_FO_Företagens ekonomi_FO002.json,2160,mixed
Statistik_UTKU_UT_Barnomsorg_UT014.json,108,mixed
Statistik_TUTRSJ_TU_Gästhamnar_TU006.json,525,int
Utredning_Äldre utredningar eller scenarier_Skatteutredning_15_POPUAGEM.json,2688,int
Statistik_UTKU_UT_Avslutade_UT026.json,960,mixed
Statistik_FOHA_FO_Arbetsställen_FO010.json,2312,int
Utredning_Äldre utredningar eller scenarier_Scenarier2013_AR_LABOUTOCC.json,4320,mixed
Statistik_INLO_LO_Avslutade_LO003.json,2040,int
Statistik_BOBY_BY_BY005.json,1024,int
Statistik_UTKU_UT_Utb efter grundskolan_Gymnasienivå_UT073.json,1248,int
Statistik_BE_Befolkningsrörelsen_BE029.json,6120,int
Utredning_Äldre utredningar eller scenarier_Skatteutredning_34_FLITPENG.json,384,mixed
Statistik_NA_Avslutade_NA002.json,186,mixed
Statistik_NA_Konsumtion_NA038.json,385,mixed
Statistik_FOHA_FO_Företagens ekonomi_FO014.json,7040,mixed
Statistik_BE_Befolkningens storlek och struktur_BE040.json,2550,mixed
Utredning_Utbildning och arbetsmarknad 2035_QFLABFED.json,3060,mixed
Statistik_NA_Konsumtion_NA043.json,330,mixed
Statistik_OF_Avslutade_OF007.json,705,int
Statistik_TUTRSJ_SJ_Konjunkturstatistik för sjöfarten_SJ102.json,168,int
Statistik_FOHA_HA_Avslutade_HA010.json,252,int
Statistik_FOHA_FO_Avslutade_FO001.json,1280,int
Statistik_INLO_LO_LO008.json,3696,int
Statistik_UTKU_UT_Avslutade_UT012_barnomsorg.json,6669,int
Utredning_Äldre utredningar eller scenarier_Scenarier2013_AR_BALASEX.json,405,mixed
Statistik_BE_Befolkningsrörelsen_BE013.json,7119,int
Statistik_NA_Konsumtion_NA055.json,427,mixed
Statistik_OF_1. Kommunernas och kommunalförbundens rapporterade ekonomiuppgifter_1.1 Bokslut_OF029.json,1386,int
Statistik_MI_MI008.json,390,mixed
Statistik_FOHA_HA_Avslutade_HA006.json,252,int
Statistik_BE_Befolkningsrörelsen_BE018.json,12765,int
Utredning_Utbildning och arbetsmarknad 2035_QLABDOM.json,204,int
Statistik_UTKU_UT_Utb efter grundskolan_Övrig utbildning_UT061.json,2880,int
Statistik_FOHA_HA_HA033.json,1848,mixed
Utredning_Äldre utredningar eller scenarier_Scenarier2013_AR_MUNITAX.json,48,mixed
Statistik_NA_Avslutade_NA033.json,1728,mixed
Statistik_MI_MI003.json,714,mixed
Statistik_TUTRSJ_TR_TR001.json,1470,int
Statistik_VA_VA012.json,612,int
"Statistik_TUTRSJ_SJ_Handelsflottan, sysselsättning, resande_SJ002.json",126,int
Statistik_VA_VA004.json,22680,int
Statistik_UTKU_UT_Grundskolan_UT004.json,540,int
Statistik_NA_Socialräkenskapsmatriser_SAM2010.json,3844,mixed
Statistik_UTKU_UT_Utb efter grundskolan_Högskolan vid Åland_UT076.json,2925,int
Utredning_Äldre utredningar eller scenarier_Skatteutredning_42_ESOC.json,384,mixed
Statistik_TUTRSJ_TR_TR017.json,296,int
Statistik_FOHA_FI_FI004.json,35,int
Utredning_Utbildning och arbetsmarknad 2035_OUTMIG.json,26622,int
Statistik_NA_Konsumtion_NA033.json,440,mixed
Statistik_UTKU_UT_Barnomsorg_UT009.json,27360,int
Statistik_NA_Socialräkenskapsmatriser_SAM2015AGG.json,100,float
Statistik_BOBY_BO_BO005.json,45968,int
Statistik_UTKU_UT_Befolkningens utbildning_UT080.json,4725,int
Statistik_UTKU_UT_Lärare_UT021.json,112,mixed
Statistik_SO_SO016.json,306,int
Utredning_Äldre utredningar eller scenarier_Skatteutredning_51_YMUNI.json,384,mixed
Utredning_Utbildning och arbetsmarknad 2035_DEPRATE.json,102,float
Statistik_BE_Prognoser_BEFOLD_BE049.json,2040,int
Statistik_OF_1. Kommunernas och kommunalförbundens rapporterade ekonomiuppgifter_1.5 Nyckeltal_OF017.json,408,int
Statistik_FOHA_HA_Avslutade_HA021.json,120,int
Statistik_INLO_IN_IN008.json,14040,int
Statistik_NA_Konsumtion_NA025.json,726,mixed
Statistik_OF_1. Kommunernas och kommunalförbundens rapporterade ekonomiuppgifter_1.3 Driftsekonomi_OF011.json,4488,int
Statistik_AR_Sysselsättning_AR013c.json,432,int
Statistik_TUTRSJ_TU_Inkvartering_TU010.json,1365,int
Statistik_RV_RV001.json,924,int
Statistik_SO_SO020.json,76,int
Statistik_FOHA_HA_Avslutade_HA001.json,176,int
Statistik_BE_Befolkningsrörelsen_BE014.json,8976,int
Statistik_NA_Konsumtion_NA052.json,427,mixed
Statistik_INLO_IN_Avslutade_IN007gammal.json,26775,int
Statistik_OF_2. Landskapet Ålands ekonomiuppgifter_OF008.json,517,int
Statistik_UTKU_UT_Grundskolan_UT008.json,884,int
Statistik_VA_VA008.json,1920,mixed
Utredning_Äldre utredningar eller scenarier_Skatteutredning_23_PUBCONS.json,1536,mixed
Statistik_FOHA_FO_Koncerner_FO022.json,966,int
Statistik_FOHA_HA_Avslutade_HA017.json,91,mixed
Statistik_OF_OF031.json,1890,int
Statistik_NA_Konsumtion_NA044.json,275,mixed
Statistik_OF_1. Kommunernas och kommunalförbundens rapporterade ekonomiuppgifter_1.5 Nyckeltal_OF021.json,408,int
Utredning_Utbildning och arbetsmarknad 2035_ALEMPLOY.json,102,mixed
Statistik_BOBY_BO_BO009.json,270,int
Statistik_FOHA_FO_Företagens ekonomi_FO013.json,6600,mixed
Statistik_BE_Befolkningens storlek och struktur_BE010.json,2550,int
Statistik_BE_Prognoser_BEFOLD_BE045.json,42840,int
Statistik_OF_1. Kommunernas och kommunalförbundens rapporterade ekonomiuppgifter_1.1 Bokslut_OF014.json,6732,int
Statistik_BOBY_BY_BY002.json,4590,int
Statistik_OF_1. Kommunernas och kommunalförbundens rapporterade ekonomiuppgifter_1.1 Bokslut_OF002.json,11951,int
